date,trip_count_diff1,trip_count_hp_cycle,trip_count_hp_trend,avg_fare_diff1,avg_fare_hp_cycle,avg_fare_hp_trend,total_revenue_diff1,total_revenue_hp_cycle,total_revenue_hp_trend
2023-02-05,-14098.0,-19343.976428134076,102613.97642813408,2.604294740487859,1.1539391372854055,18.598983283754585,-68014.35999999987,-435846.28719140356,2804167.7171914037
2023-02-06,6918.0,-12605.146248438745,102793.14624843874,-0.8304020192126949,0.32112706983409467,18.6013933319932,161986.7999999998,-279574.73333838163,2809882.9633383816
2023-02-07,15044.0,2263.043789306248,102968.95621069375,-1.2254567709925688,-0.9077429630355844,18.60480659387031,261431.20999999996,-23872.08346506115,2815611.523465061
2023-02-08,2335.0,4425.642114801594,103141.3578851984,0.2256208355908491,-0.6865189601776684,18.609203426603244,94548.10999999987,64937.417313692626,2821350.132686307
2023-02-09,6631.0,10887.6796959903,103310.3203040097,0.8503340627956,0.15846134600135642,18.61455718321982,299712.06000000006,358904.2680811896,2827095.3419188103
2023-02-10,-863.0,9859.153352342197,103475.8466476578,-0.24377566514564464,-0.09159305545811947,18.62083591953365,-59925.90999999968,293229.49686041987,2832844.2031395803
2023-02-11,132.0,9828.975893452967,103638.02410654703,-0.6771549442398062,-0.7759209942182075,18.628008914053932,-197177.2000000002,90299.96235131705,2838596.537648683
2023-02-12,-19914.0,-10244.015944795901,103797.0159447959,1.2796366640899635,0.49567984537236853,18.63604473855332,-341938.0,-257395.92931946367,2844354.4293194637
2023-02-13,-1411.0,-11811.061267386307,103953.0612673863,-0.40665805617504347,0.0801605499908824,18.644905977759763,-32482.040000000037,-295644.19878423633,2850120.6587842363
2023-02-14,15275.0,3310.6798640327033,104106.3201359673,-0.5671021459488799,-0.49659465928963087,18.654559041091396,340043.7000000002,38624.139404381625,2855896.0205956185
2023-02-15,2344.0,5504.13852254409,104256.86147745591,0.974374518171814,0.4673679434844509,18.664970956489128,224337.97999999998,257179.11189900897,2861679.028100991
2023-02-16,2108.0,7464.220235861489,104404.77976413851,-0.42348568773426365,0.03274829209436447,18.67610492014495,-9654.479999999981,241735.1673264983,2867468.492673502
2023-02-17,-1138.0,6180.788061493891,104550.21193850611,-0.13505924307078843,-0.1141337653164598,18.687927734484987,-44178.68000000017,191759.7699069758,2873265.210093024
2023-02-18,-6506.0,-468.3525373417069,104693.3525373417,-0.34046568900541985,-0.46707817445969013,18.700406454622797,-325778.5,-139825.36137991818,2879071.841379918
2023-02-19,-15123.0,-15732.443788694189,104834.44378869419,1.2089592105778415,0.7287802357307811,18.713507255010168,-253050.3700000001,-398696.41718239663,2884892.5271823965
2023-02-20,-10291.0,-26162.724306781165,104973.72430678117,1.3088426814431386,2.0239374660834635,18.727192706100624,-142156.33999999985,-546690.5592492758,2890730.329249276
2023-02-21,20178.0,-6122.311313507016,105111.31131350702,-1.903363551650493,0.10633561888161225,18.741431001651982,420980.8700000001,-131564.59296813095,2896585.232968131
2023-02-22,10962.0,4703.87984209659,105247.12015790341,-0.3068641276049249,-0.21530345929482664,18.756205952223496,260265.83999999985,122833.47456481401,2902453.005435186
2023-02-23,4279.0,8848.981051054463,105381.01894894554,0.2779314386129563,0.04733174267633089,18.771502188865295,158825.20999999996,275783.29141223244,2908328.3985877675
