date,trip_count_seas_diff7,trip_count_stl_deseas,avg_fare_seas_diff7,avg_fare_stl_deseas,total_revenue_seas_diff7,total_revenue_stl_deseas
2023-12-08,3733.0,121534.45552555971,0.0008807786374482873,20.315282481096748,94013.01000000024,3640875.068913069
2023-12-09,12784.0,125351.1607863599,0.21485074626953704,20.397773323363282,362376.98999999976,3669882.25443787
2023-12-10,5848.0,125057.14081968105,-0.2500245333793316,20.355384131503644,96400.3500000001,3652614.0649095434
2023-12-11,8176.0,126838.82458588765,-0.5647724281643107,19.890825434136456,155058.83000000007,3720100.7494343873
2023-12-12,5765.0,127305.47490858365,0.21657455869090825,20.224862569306264,169577.8099999996,3651834.616254978
2023-12-13,6579.0,128986.69560537247,-0.14899912930867742,20.443315984814728,135844.40000000037,3772486.925987982
2023-12-14,9245.0,133314.19751803426,0.20908481448811855,20.378333674338297,279167.3499999996,4044122.8955146167
2023-12-15,8949.0,131105.85318921594,0.006369754087341306,20.20872237734929,253930.2999999998,3930139.8194793826
2023-12-16,1215.0,126615.37128536223,0.027391560372812762,20.429145428151173,18172.260000000242,3659512.9768679664
2023-12-17,-4614.0,118203.81240558204,-0.5223961394532175,20.132522291056624,-195785.41999999993,3406019.6149479225
2023-12-18,-8908.0,117056.43917202274,-0.9277806219924152,18.951951561491406,-411295.4900000002,3332529.5846201195
2023-12-19,-4672.0,124829.45681298015,-1.1044817688924802,18.816182135928564,-324048.3099999996,3344593.858362834
2023-12-20,-17532.0,113084.01490287548,-0.6981129497794178,19.70899477796908,-644658.8000000003,3155469.5266447417
2023-12-21,-27734.0,105593.68227080864,-1.620447041119725,18.72791784679643,-1097453.9,2978232.2782632676
2023-12-22,-30317.0,100499.64086804594,-1.1821136440028077,18.905338629983355,-1098720.15,2840721.7628918677
2023-12-23,-53033.0,74518.84692799569,-0.14340478268609758,20.492851642018888,-1471494.19,2175933.728891196
2023-12-24,-41655.0,72936.97204659699,-1.3386730946893977,19.081489613251765,-1326450.0,2014086.059471723
2023-12-25,-55800.0,60319.02348997056,2.005617209576112,20.95161951951857,-1523058.7899999998,1730478.094797651
2023-12-26,-53478.0,72228.95151895055,2.3471559653848466,20.799647837191188,-1313182.09,2080275.461250763
2023-12-27,-37309.0,78375.49111724323,2.381832854025852,22.080609819030492,-832663.9499999997,2399161.2034137384
2023-12-28,-32504.0,72972.19774128516,2.1158989586840242,20.952183930383004,-714272.0999999996,2279339.3111891774
