date,trip_count,avg_fare,total_revenue
2024-02-04,693315,18.160528574555624,18642757.55
2024-02-11,716878,18.52794969782995,19620466.16
2024-02-18,700713,18.188110917538676,18807790.92
2024-02-25,698581,18.886018557094484,19243115.41
2024-03-03,772565,19.031994455504027,21339714.57
2024-03-10,813638,18.946446053604962,22331744.92
2024-03-17,817369,19.631399033049224,23181301.06
2024-03-24,783620,19.373763036879247,21992079.17
2024-03-31,776431,19.522957293902518,21788468.72
2024-04-07,858679,19.541786211557614,23970173.24
2024-04-14,832995,19.396565204854422,23256967.18
2024-04-21,817406,19.70456661997167,23268954.509999998
2024-04-28,740347,19.773438272338094,21275922.53
2024-05-05,832120,19.746128797418244,23767199.67
2024-05-12,854287,20.2076940271036,24792539.14
2024-05-19,896341,20.685678871003933,26410928.77
2024-05-26,753548,20.200254011993525,21887094.09
2024-06-02,763799,20.557770591326182,22341735.39
2024-06-09,866224,20.369689419188152,25163990.85
2024-06-16,805546,19.61030414172114,22854611.12
2024-06-23,775319,19.46399490326712,21849326.02
2024-06-30,795718,20.84419299395184,23567453.18
2024-07-07,529528,20.701268809103023,15567231.58
2024-07-14,723075,20.200461301996935,20935072.79
2024-07-21,767058,20.423122232658375,22301186.63
2024-07-28,702548,20.32970072690561,20500821.189999998
2024-08-04,712153,20.06897616214606,20435370.31
2024-08-11,689932,20.53908121867268,20142418.45
2024-08-18,632985,20.198954793981105,18320059.57
2024-08-25,621888,21.02039350234623,18683038.53
2024-09-01,644786,20.977028181044886,19253590.53
2024-09-08,782108,21.295063102602235,23419262.6
2024-09-15,848125,20.505427502018957,24665819.41
2024-09-22,883599,20.67240976641662,25995501.45
2024-09-29,854115,20.857722568068265,25351958.4
2024-10-06,771565,20.20080704347492,22445127.61
2024-10-13,848431,20.39471563122644,24815598.65
2024-10-20,868712,20.833949110227405,25869067.33
2024-10-27,880694,20.76706747548462,26180772.89
2024-11-03,879851,20.053304051891562,25262754.96
2024-11-10,807411,19.913373333542403,23217291.07
2024-11-17,896797,20.266213998943698,25959850.11
2024-11-24,900508,19.775725559859513,25711537.18
2024-12-01,672173,20.131753594493798,19410886.259999998
2024-12-08,917815,20.9929165313045,27714609.4
2024-12-15,982974,20.912482432025815,29501195.89
2024-12-22,888312,19.79394676313027,25262374.8
2024-12-29,542211,20.472243945894,15743573.58
2025-01-05,588113,19.76583534863531,16755424.58
2025-01-12,722851,17.957745632285558,19417504.07
2025-01-19,808991,17.701449260187037,21366066.04
2025-01-26,802353,18.002163878968936,21262819.49
2025-02-02,828882,17.719095563318287,21779758.48
2025-02-09,836961,18.001808481408275,22181303.77
2025-02-16,874851,18.047566171560312,23071571.58
2025-02-23,817910,18.224663174469516,21824247.79
2025-03-02,880801,18.73938333493383,24072773.34
2025-03-09,887904,18.669623243043482,24186628.9
2025-03-16,897023,19.104378934837463,24947437.28
2025-03-23,871161,19.687660818166798,24849058.46
2025-03-30,893022,19.835211067226073,25553331.18
2025-04-06,887383,19.37777754655236,25041712.79
2025-04-13,900032,18.981404771299385,24929652.24
2025-04-20,825841,19.317107344828077,23236531.87
2025-04-27,917994,19.905340909937106,26469704.03
2025-05-04,936143,20.20137707505041,27197760.44
2025-05-11,1004700,20.489837142540043,29392113.87
2025-05-18,1029767,21.620686030493378,31387116.15
2025-05-25,874732,19.08981940086114,24716610.43
2025-06-01,902765,20.909119835774728,26620692.13
2025-06-08,990134,21.269279485477487,29645171.43
2025-06-15,944856,20.38004436192636,27473131.169999998
2025-06-22,925507,20.57273647397047,26941424.79
2025-06-29,954890,21.154643448924958,28425454.89
2025-07-06,693493,20.511161906189784,19917697.2
2025-07-13,826216,20.48031404539662,24008324.259999998
2025-07-20,889638,20.536373619833817,25905796.04
2025-07-27,837700,20.60488628364968,24400360.63
2025-08-03,846523,20.621477805647988,24628882.27
2025-08-10,755495,20.380977632431325,21870498.58
2025-08-17,776159,20.343980613136385,22398179.6
2025-08-24,713477,18.950722153454688,19871119.77
2025-08-31,728729,21.482647047007188,22065150.51
2025-09-07,867741,21.14291901082353,25779816.27
2025-09-14,981869,20.908807195383783,29017842.85
2025-09-21,973567,21.053554216837934,29089144.14
2025-09-28,922818,21.220494448836575,27666989.33
2025-10-05,896315,20.53736344201275,26266729.89
2025-10-12,951696,20.842303506060805,28348429.459999997
2025-10-19,947930,21.065345365893837,28483269.490000002
2025-10-26,899773,19.650585019426348,26088128.0
2025-11-02,949296,19.660111532768447,27136232.009999998
2025-11-09,903636,19.286932242020438,25680101.28
2025-11-16,909764,19.2483469297477,25741549.86
2025-11-23,969749,20.502461903701544,28362878.08
2025-11-30,710899,19.183578798272332,19990089.95
