date,trip_count,avg_fare,total_revenue
2023-10-13,116970,20.48273181157562,3500776.5
2023-10-14,120430,19.393367018184836,3324725.07
2023-10-15,102300,21.27765630498534,3106812.09
2023-10-16,101257,21.074570844484825,3127862.34
2023-10-17,114972,20.28790522909926,3425443.47
2023-10-18,119275,20.61095007335988,3605134.91
2023-10-19,126598,20.88213265612411,3873563.25
2023-10-20,122941,20.401331044972792,3674095.59
2023-10-21,120106,19.001729805338616,3279329.5
2023-10-22,106156,21.166967293417237,3223591.45
2023-10-23,98636,21.27871294456385,3078181.31
2023-10-24,112161,20.50757018928148,3370433.45
2023-10-25,118704,20.68936910297884,3598282.48
2023-10-26,128748,20.658779010159382,3898084.9899999998
2023-10-27,125881,20.84197456327802,3816299.87
2023-10-28,129913,20.251201727309816,3693684.54
2023-10-29,108279,20.568906528505064,3166228.7
2023-10-30,96390,19.725085693536673,2793924.26
2023-10-31,100661,18.917287231400444,2800504.48
2023-11-01,125229,19.568459701826256,3611345.11
2023-11-02,127069,20.234397374654716,3777856.52
2023-11-03,121141,20.03984687265253,3592153.75
2023-11-04,121935,18.943404436790093,3307536.66
2023-11-05,106559,20.511438827316322,3128010.03
2023-11-06,101603,21.176810428825924,3156166.46
2023-11-07,111680,19.590850555157594,3159000.4
2023-11-08,123118,19.93662462028298,3624144.8
2023-11-09,127926,20.857378953457467,3914738.75
2023-11-10,124502,19.914725867857545,3582462.69
2023-11-11,123172,19.06281541259377,3363615.15
2023-11-12,107630,20.596697110471055,3187538.37
2023-11-13,102045,20.60568915674457,3103957.28
2023-11-14,116857,19.739456600802693,3413921.9899999998
2023-11-15,123626,20.07648423470791,3658453.0
2023-11-16,129912,20.062163464499044,3846689.64
2023-11-17,120670,20.335181901052458,3604839.97
2023-11-18,125710,18.429817596054413,3344630.62
2023-11-19,97963,19.664624296928434,2776284.12
2023-11-20,98188,19.64947559783273,2832176.63
2023-11-21,110799,20.279084287764327,3259267.45
2023-11-22,90948,20.069895434753928,2655468.25
2023-11-23,63788,18.845428293722957,1705544.51
2023-11-24,76716,18.929794566974298,2147535.76
2023-11-25,87303,20.536932407821038,2558957.5
2023-11-26,83859,22.152382809239317,2649688.47
2023-11-27,95573,21.429061764305818,3005476.27
2023-11-28,118912,20.19577073802476,3542069.43
2023-11-29,113691,20.77620251383135,3446646.53
2023-11-30,123552,20.962716508029008,3787888.12
